Country Code,Country Name,"Main colonial ""motherland""",onset,end,COLYEARS,Transformation (0-100)
AFG,Afghanistan,x,1880,1919,39,28
AGO,Angola,P,1506,1975,469,88
ARE,Unit. Arab. Emir,UK,1850,1971,121,22
BDI,Burundi,B,1897,1962,65,65
BEN,Benin,F,1878,1960,82,56
BFA,Burkina Faso,F,1896,1960,64,49
BGD,Bangladesh,UK,1757,1947,190,40
BHR,Bahrain,UK,1860,1971,111,24
BRN,Brunei,UK,1888,1984,96,
BTN,Bhutan,x,1866,1949,83,17
BWA,Botswana,UK,1885,1966,81,43
CAF,Central African,F,1890,1960,70,73
CHN,China,x,1842,1949,107,42
CIV,Ivory coast,F,1839,1960,121,79
CMR,Cameroon,F,1845,1960,115,74
COG,"Congo, Rep.",F,1880,1960,80,71
DJI,Djibouti,F,1862,1977,115,59
DZA,Algeria,F,1830,1962,132,81
EGY,"Egypt, Arab Rep",UK,1876,1956,80,
ETH,Ethiopia,I,1935,1950,15,61
FJI,Fiji,UK,1874,1970,96,62
GAB,Gabon,F,1852,1960,108,59
GHA,Ghana,UK,1844,1957,113,75
GIN,Guinea,F,1881,1958,77,57
GMB,"Gambia, The",UK,1661,1965,304,53
GNB,Guinea-Bissau,P,1878,1974,96,82
GNQ,Equatorial Guin,SP,1778,1968,190,72
HKG,Hongkong,UK,1842,1997,155,
IDN,Indonesia,NL,1619,1962,343,82
IND,India,UK,1757,1947,190,69
IRN,"Iran, Islamic R",x,1828,1921,93,21
IRQ,Iraq,UK,1914,1958,44,46
JOR,Jordan,UK,1918,1956,38,
JPN,Japan,x,1854,1911,57,9
KEN,Kenya,UK,1841,1963,122,89
KHM,Kampuchea/Cambo,F,1863,1955,92,68
KOR,"Korea, Rep.",JP,1876,1945,69,63
KWT,Kuwait,UK,1899,1961,62,30
LAO,Lao PDR,F,1893,1955,62,56
LBN,Lebanon,F,1860,1944,84,43
LBR,Liberia,US,1821,1976,155,77
LBY,Libya,I,1911,1951,40,45
LKA,Sri Lanka,UK,1597,1948,351,58
LSO,Lesotho,UK,1845,1966,121,
MAR,Morocco,F,1904,1956,52,52
MDG,Malagasy Rep.,F,1885,1960,75,68
MLI,Mali,F,1880,1960,80,55
MMR,Myanmar/Burma,UK,1826,1948,122,68
MNG,Mongolia,x,0,0,0,
MOZ,Mozambique,P,1569,1975,406,77
MRT,Mauritania,F,1858,1960,102,48
MWI,Malawi,UK,1885,1964,79,55
MYS,Malaysia,UK,1511,1963,452,66
NER,Niger,F,1897,1960,63,54
NGA,Nigeria,UK,1851,1960,109,61
NPL,Nepal,x,1816,1947,131,13
OMN,Oman,UK,1850,1971,121,30
PAK,Pakistan,UK,1843,1947,104,49
PHL,Philippines,US,1565,1946,381,71
PNG,Papua New Guine,AU,1884,1975,91,50
PRK,"Korea, Dem. Rep",JP,1876,1945,69,63
QAT,Qatar,UK,1916,1971,55,18
RWA,Rwanda,B,1899,1961,62,55
SAU,Saudi Arabia,x,1915,1927,12,2
SDN,Sudan,UK,1898,1956,58,57
SEN,Senegal,F,1816,1906,90,69
SGP,Singapore,UK,1818,1963,145,
SLB,Solomon Islands,UK,1885,1978,93,39
SLE,Sierra Leone,UK,1787,1961,174,63
SOM,Somalia,I,1855,1960,105,50
SWZ,Swaziland,UK,1880,1968,88,55
SYR,Syrian Arab Rep,F,1918,1946,28,48
TCD,Chad,F,1900,1960,60,59
TGO,Togo,F,1884,1960,76,58
THA,Thailand,x,1855,1938,83,16
TUN,Tunisia,F,1869,1956,87,45
TUR,Turkey,x,1838,1923,85,11
TWN,Taiwan,JP,1624,1945,321,66
TZA,Tanzania,UK,1821,1961,140,64
UGA,Uganda,UK,1890,1962,72,61
VNM,Vietnam,F,1859,1956,97,71
VUT,Vanuatu,UK/F,1887,1980,93,55
ZAF,South Africa,UK,1652,1994,342,100
ZAR,Zaire/Congo Dem,B,1879,1960,81,73
ZMB,Zambia,UK,1889,1964,75,59
ZWE,Zimbabwe,UK,1888,1980,92,91
